iter	Passed	Remaining
0	1	654
1	1	404
2	2	326
3	2	289
4	3	266
5	3	249
6	4	237
7	4	228
8	4	221
9	5	216
10	5	212
11	6	216
12	7	219
13	7	219
14	8	215
15	8	211
16	9	208
17	9	205
18	9	202
19	10	200
20	10	198
21	11	195
22	11	193
23	11	191
24	12	190
25	12	188
26	13	187
27	13	185
28	14	188
29	15	190
30	15	189
31	15	188
32	16	187
33	16	185
34	17	184
35	17	183
36	18	182
37	18	180
38	18	180
39	19	181
40	20	184
41	21	184
42	21	182
43	21	181
44	22	180
45	22	179
46	23	178
47	23	177
48	23	176
49	24	175
50	24	174
51	25	173
52	25	173
53	26	172
54	26	172
55	27	171
56	27	170
57	28	175
58	29	175
59	29	174
60	30	173
61	30	172
62	31	172
63	31	171
64	32	170
65	32	169
66	33	169
67	33	168
68	34	169
69	34	169
70	35	168
71	35	167
72	36	166
73	36	166
74	37	166
75	37	165
76	38	164
77	38	163
78	38	163
79	39	162
80	39	161
81	40	160
82	40	159
83	41	159
84	41	158
85	42	158
86	43	162
87	44	161
88	44	161
89	45	161
90	45	160
91	46	160
92	47	161
93	48	161
94	48	162
95	49	161
96	50	161
97	50	161
98	52	164
99	54	167
100	54	167
101	56	171
102	57	171
103	58	171
104	58	170
105	59	169
106	59	168
107	60	168
108	60	167
109	61	166
110	61	166
111	62	166
112	63	165
113	63	164
114	63	164
115	66	168
116	67	168
117	67	167
118	68	167
119	69	166
120	71	170
121	73	173
122	74	173
123	74	172
124	75	172
125	76	173
126	78	174
127	78	173
128	79	173
129	80	172
130	80	171
131	81	171
132	81	170
133	82	169
134	82	168
135	83	167
136	83	166
137	84	165
138	85	165
139	86	166
140	87	166
141	87	165
142	88	165
143	89	164
144	89	164
145	90	163
146	91	163
147	92	162
148	92	162
149	95	165
150	96	165
151	97	165
152	97	164
153	98	163
154	100	164
155	100	164
156	101	163
157	102	163
158	103	164
159	104	163
160	105	162
161	105	161
162	106	160
163	106	160
164	107	159
165	107	158
166	108	157
167	108	156
168	108	155
169	109	154
170	109	153
171	110	152
172	110	151
173	111	150
174	111	149
175	112	149
176	112	148
177	112	147
178	113	146
179	114	146
180	114	145
181	115	144
182	116	144
183	116	143
184	117	142
185	117	141
186	118	140
187	118	139
188	119	139
189	119	138
190	119	137
191	122	138
192	123	138
193	124	139
194	125	138
195	126	137
196	126	137
197	127	136
198	129	137
199	130	136
200	130	135
201	131	135
202	131	134
203	132	133
204	132	132
205	132	131
206	133	130
207	134	130
208	135	129
209	135	129
210	135	128
211	136	127
212	136	126
213	137	125
214	137	124
215	138	123
216	138	123
217	138	122
218	139	121
219	139	120
220	140	119
221	140	118
222	140	118
223	141	117
224	142	117
225	143	116
226	143	115
227	144	115
228	144	114
229	145	113
230	145	112
231	145	112
232	146	111
233	146	110
234	147	109
235	147	108
236	148	108
237	148	107
238	149	106
239	149	106
240	150	105
241	150	104
242	151	103
243	151	103
244	151	102
245	152	101
246	152	100
247	153	100
248	153	99
249	154	98
250	154	97
251	154	97
252	155	96
253	157	96
254	157	95
255	158	95
256	158	94
257	159	93
258	159	93
259	159	92
260	160	91
261	160	90
262	161	90
263	161	89
264	162	88
265	162	88
266	163	87
267	163	86
268	164	86
269	164	85
270	164	84
271	165	83
272	165	83
273	166	82
274	166	81
275	167	81
276	167	80
277	167	79
278	168	79
279	168	78
280	169	77
281	169	77
282	171	76
283	171	76
284	171	75
285	172	74
286	172	74
287	173	73
288	173	72
289	174	72
290	174	71
291	174	70
292	175	70
293	175	69
294	176	68
295	177	68
296	177	67
297	177	66
298	178	66
299	178	65
300	179	64
301	179	64
302	179	63
303	180	62
304	180	62
305	181	61
306	181	60
307	182	60
308	182	59
309	183	59
310	183	58
311	184	57
312	184	57
313	185	56
314	185	56
315	186	55
316	186	54
317	187	54
318	187	53
319	187	52
320	188	52
321	188	51
322	189	50
323	189	50
324	190	49
325	190	49
326	191	48
327	191	47
328	192	47
329	192	46
330	193	46
331	193	45
332	193	44
333	194	44
334	194	43
335	195	42
336	195	42
337	196	41
338	196	41
339	196	40
340	197	39
341	198	39
342	199	38
343	199	38
344	200	37
345	200	37
346	200	36
347	201	35
348	201	35
349	202	34
350	202	34
351	203	33
352	203	32
353	204	32
354	204	31
355	205	31
356	205	30
357	206	29
358	206	29
359	207	28
360	207	28
361	207	27
362	208	26
363	208	26
364	209	25
365	209	25
366	210	24
367	211	24
368	211	23
369	213	23
370	213	22
371	214	21
372	214	21
373	215	20
374	215	20
375	216	19
376	216	18
377	217	18
378	218	17
379	218	17
380	219	16
381	219	16
382	220	15
383	220	14
384	220	14
385	221	13
386	221	13
387	222	12
388	222	12
389	222	11
390	223	10
391	223	10
392	224	9
393	224	9
394	225	8
395	226	7
396	227	7
397	228	6
398	228	6
399	229	5
400	229	5
401	230	4
402	230	4
403	230	3
404	231	2
405	231	2
406	232	1
407	232	1
408	233	0
409	233	0
