A_site,Conc(mg/ml),H_Acceptors,H_Donors,Rot_bonds,Mol_Wt,TPSA,AvgIpc,Hydrogen,Oxide,Nitrogen,Halide
0.0,8.0,0,0,4,216.1220000000001,0.0,2.3382713002716398,14,0,1,1
0.0,0.452,1,0,5,226.02600000000012,8.809999999999999,2.645318335476332,15,0,2,4
0.0,0.925,1,0,2,201.1850000000001,17.07,2.546064535294919,10,1,0,0
0.0,1.004,2,1,3,218.1920000000001,37.3,2.611622735931667,11,2,0,0
1.0,3.0,4,0,5,288.2909999999997,66.01,2.733054010775666,15,3,2,3
0.0,0.334,1,1,0,111.16899999999995,15.79,2.0815718239857546,5,0,1,0
1.0,0.041,1,0,12,218.32100000000025,17.07,2.686000762646424,27,1,0,0
0.0,5.97,1,0,6,170.5800000000001,23.550000000000004,1.839755031044436,12,1,2,1
0.0,12.0,0,0,5,230.1490000000001,0.0,2.372370800673465,16,0,1,1
0.0,0.527,0,2,0,131.86900000000006,51.61,1.8122761210765057,5,0,2,4
0.0,0.231,2,2,3,77.15199999999997,26.02,1.8702082025858733,7,0,1,0
0.0,4.599901785714286,2,2,3,60.100000000000016,52.04,1.859757594929931,8,0,2,0
1.0,1.206,2,1,1,201.01900000000003,37.3,2.2319351642651286,5,2,0,1
0.0,0.876,1,0,5,219.1260000000001,8.809999999999999,2.571109323329586,15,0,2,1
1.0,1.0,6,2,9,335.2959999999997,80.92,3.216980062483852,18,5,1,0
0.0,0.34,6,0,20,680.3510000000015,71.06000000000002,3.5171734763461333,38,6,0,2
1.0,2.0,2,1,7,206.2850000000001,37.3,2.614794598810607,18,2,0,0
1.0,8.829,1,0,14,294.32099999999934,3.24,2.8052102129813647,32,0,1,1
1.0,3.0,0,1,0,325.0029999999998,15.79,2.7985462551241382,7,0,1,2
0.0,0.995,1,0,3,216.22000000000008,17.07,2.603900192118786,13,1,0,0
1.0,2.5,1,1,3,202.09500000000008,26.02,2.4432806639087143,12,0,1,1
1.0,4.0,0,0,0,64.034,0.0,1.3609640474436813,2,0,0,2
0.0,1.02,6,0,20,680.3510000000015,71.06000000000002,3.5171734763461333,38,6,0,2
0.0,3.0,1,1,3,202.09500000000008,26.02,2.4432806639087143,12,0,1,1
1.0,2.0,0,0,0,64.034,0.0,1.3609640474436813,2,0,0,2
1.0,4.599901785714286,1,0,0,53.06400000000001,23.79,1.6457113704075783,3,0,1,0
1.0,4.599901785714286,1,0,7,536.6870000000013,17.07,3.290364863773869,29,1,0,0
0.0,10.0,0,0,5,185.6980000000001,0.0,2.372370800673465,16,0,1,1
1.0,20.0,2,0,5,117.14799999999993,40.13,1.9214952626882809,11,2,1,0
0.0,0.376,2,2,2,125.19599999999996,26.02,2.155278611894285,7,0,1,0
1.0,8.0,2,1,0,76.12399999999998,60.29,1.272905595320056,4,0,2,0
1.0,3.0,1,0,0,342.05499999999984,0.0,2.8688215497649567,6,0,0,2
0.0,4.599901785714286,2,1,1,118.13899999999995,49.81,2.155278611894285,6,0,2,0
0.0,6.0,0,0,4,216.1220000000001,0.0,2.3382713002716398,14,0,1,1
0.0,4.599901785714286,1,0,3,278.29099999999966,17.07,2.810657880560645,15,1,0,0
1.0,4.599901785714286,6,0,12,909.9030000000012,89.88,0.7095368145970209,42,3,3,0
0.0,0.091,0,0,3,356.8829999999998,0.0,2.07247213338686,9,0,0,3
