"CID","IUPACName","MolecularFormula","IsomericSMILES"
7812,"4-chloroaniline","C6H6ClN","C1=CC(=CC=C1N)Cl"
7423,"3-nitroaniline","C6H6N2O2","C1=CC(=CC(=C1)[N+](=O)[O-])N"
9731,"4-fluoroaniline","C6H6FN","C1=CC(=CC=C1N)F"
7447,"2-methoxy-5-nitroaniline","C7H8N2O3","COC1=C(C=C(C=C1)[N+](=O)[O-])N"
7441,"2-methyl-4-nitroaniline","C7H8N2O2","CC1=C(C=CC(=C1)[N+](=O)[O-])N"
79617,"4-methylsulfonylaniline","C7H9NO2S","CS(=O)(=O)C1=CC=C(C=C1)N"
11118,"5-nitro-2-propoxyaniline","C9H12N2O3","CCCOC1=C(C=C(C=C1)[N+](=O)[O-])N"
75655,"4-morpholin-4-ylaniline","C10H14N2O","C1COCCN1C2=CC=C(C=C2)N"
74218,"5-chloro-2-nitroaniline","C6H5ClN2O2","C1=CC(=C(C=C1Cl)N)[N+](=O)[O-]"
136315,"4-(trifluoromethylsulfonyl)aniline","C7H6F3NO2S","C1=CC(=CC=C1N)S(=O)(=O)C(F)(F)F"
222556,"2,4,6-triiodoaniline","C6H4I3N","C1=C(C=C(C(=C1I)N)I)I"
28159,"2,6-dimethyl-4-nitroaniline","C8H10N2O2","CC1=CC(=CC(=C1N)C)[N+](=O)[O-]"
379,"octanoic acid","C8H16O2","CCCCCCCC(=O)O"
612,"2-hydroxypropanoic acid","C3H6O3","CC(C(=O)O)O"
978,"4-aminobenzoic acid","C7H7NO2","C1=CC(=CC=C1C(=O)O)N"
370,"3,4,5-trihydroxybenzoic acid","C7H6O5","C1=C(C=C(C(=C1O)O)O)C(=O)O"
1066,"pyridine-2,3-dicarboxylic acid","C7H5NO4","C1=CC(=C(N=C1)C(=O)O)C(=O)O"
967,"2,4-dioxo-1H-pyrimidine-6-carboxylic acid","C5H4N2O4","C1=C(NC(=O)NC1=O)C(=O)O"
3845,"4-oxo-1H-quinoline-2-carboxylic acid","C10H7NO3","C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O"
3442,"5-butylpyridine-2-carboxylic acid","C10H13NO2","CCCCC1=CN=C(C=C1)C(=O)O"
5570,"1-methylpyridin-1-ium-3-carboxylate","C7H7NO2","C[N+]1=CC=CC(=C1)C(=O)[O-]"
72924,"6-oxo-1H-pyridine-3-carboxylic acid","C6H5NO3","C1=CC(=O)NC=C1C(=O)O"
936,"pyridine-3-carboxamide","C6H6N2O","C1=CC(=CN=C1)C(=O)N"
240,"benzaldehyde","C7H6O","C1=CC=C(C=C1)C=O"
69150,"bis(4-hydroxyphenyl)methanone","C13H10O3","C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)O)O"
75498,"5-(1,3-dioxo-2-benzofuran-5-carbonyl)-2-benzofuran-1,3-dione","C17H6O7","C1=CC2=C(C=C1C(=O)C3=CC4=C(C=C3)C(=O)OC4=O)C(=O)OC2=O"
7487,"1-(4-nitrophenyl)ethanone","C8H7NO3","CC(=O)C1=CC=C(C=C1)[N+](=O)[O-]"
68400,"1,3-dicarbamoylurea","C3H6N4O3","C(=O)(N)NC(=O)NC(=O)N"
26323,"S-propyl chloromethanethioate","C4H7ClOS","CCCSC(=O)Cl"
54747,"[acetyl(methylcarbamoyl)amino] N-methylcarbamate","C6H11N3O4","CC(=O)N(C(=O)NC)OC(=O)NC"
