PA,Isomeric SIMILE,A-site Type,Conc(mg/ml)
Benzimidazolium iodide,[I-].[nH]1c[nH+]c2ccccc12,organic,2
1-phenylpent-4-en-2-aminium iodide,[I-].[NH3+]C(CC=C)Cc1ccccc1,organic,2
1-cyclohexyl-3-phenylpropan-2-aminium iodide,[I-].[NH3+]C(CC1CCCCC1)Cc2ccccc2,organic,2
"2-benzylcyclohexa-2,4-dien-1-aminium iodide",[I-].[NH3+]C1CC=CC=C1Cc2ccccc2,organic,2
cyclopropanaminium iodide,[I-].[NH3+]C1CC1,organic,2
2-phenylcyclopropan-1-aminium iodide,[I-].[NH3+]C1CC1c2ccccc2,organic,2
"2,3,4,5-tetrahydro-[1,1'-biphenyl]-4-aminium iodide",[I-].[NH3+]C1CCC(=CC1)c2ccccc2,organic,2
"4,4-difluorocyclohexan-1-aminium iodide",[I-].[NH3+]C1CCC(F)(F)CC1,organic,2
2-phenylcyclopent-2-en-1-aminium iodide,[I-].[NH3+]C1CCC=C1c2ccccc2,organic,2
"3,4,5,6-tetrahydro-[1,1'-biphenyl]-3-aminium iodide",[I-].[NH3+]C1CCCC(=C1)c2ccccc2,organic,2
cyclopentanaminium iodide,[I-].[NH3+]C1CCCC1,organic,2
cyclohexanaminium iodide,[I-].[NH3+]C1CCCCC1,organic,2
2-phenylcycloheptan-1-aminium iodide,[I-].[NH3+]C1CCCCCC1c2ccccc2,organic,2
2-cyclopentyl-2-phenylethan-1-aminium iodide,[I-].[NH3+]CC(C1CCCC1)c2ccccc2,organic,2
"2,2-diphenylethan-1-aminium iodide",[I-].[NH3+]CC(c1ccccc1)c2ccccc2,organic,2
2-cyclohexyl-2-phenylethan-1-aminium iodide,[I-].[NH3+]CC(C1CCCCC1)c2ccccc2,organic,2
"2,3-diphenylpropan-1-aminium iodide",[I-].[NH3+]CC(Cc1ccccc1)c2ccccc2,organic,2
"2,2,3,3,3-pentafluoropropan-1-aminium iodide",[I-].[NH3+]CC(F)(F)C(F)(F)F,organic,2
"2,2,2-trifluoroethan-1-aminium iodide",[I-].[NH3+]CC(F)(F)F,organic,2
"2,2-difluoroethan-1-aminium iodide",[I-].[NH3+]CC(F)F,organic,2
"[1,1'-biphenyl]-1(2H)-ylmethanaminium iodide",[I-].[NH3+]CC1(CC=CC=C1)c2ccccc2,organic,2
"(3,4-dihydro-[1,1'-biphenyl]-2-yl)methanaminium iodide",[I-].[NH3+]CC1=C(C=CCC1)c2ccccc2,organic,2
"(3,4-dihydronaphthalen-1-yl)methanaminium iodide",[I-].[NH3+]CC1=CCCc2ccccc12,organic,2
anthracen-9-ylmethanaminium iodide,[I-].[NH3+]Cc1c2ccccc2cc3ccccc13,organic,2
"(1,2-dihydronaphthalen-1-yl)methanaminium iodide",[I-].[NH3+]CC1CC=Cc2ccccc12,organic,2
4-bromophenylmethylammonium iodide,[I-].[NH3+]Cc1ccc(Br)cc1,organic,2
(4-vinylphenyl)methanaminium iodide,[I-].[NH3+]Cc1ccc(C=C)cc1,organic,2
4-chlorophenylmethylammonium iodide,[I-].[NH3+]Cc1ccc(Cl)cc1,organic,2
4-iodophenylmethylammonium iodide,[I-].[NH3+]Cc1ccc(I)cc1,organic,2
naphthalen-2-ylmethanaminium iodide,[I-].[NH3+]Cc1ccc2ccccc2c1,organic,2
pyridin-2-ylmethanaminium iodide,[I-].[NH3+]Cc1ccccn1,organic,2
pyridin-3-ylmethanaminium iodide,[I-].[NH3+]Cc1cccnc1,organic,2
2-bromoethylammonium iodide,[I-].[NH3+]CCBr,organic,2
but-3-yn-1-aminium iodide,[I-].[NH3+]CCC#C,organic,2
(2-carboxy)ethylammonium iodide,[I-].[NH3+]CCC(O)=O,organic,2
but-3-en-1-aminium iodide,[I-].[NH3+]CCC=C,organic,2
2-(1-cyclohexenyl)ethylammonium iodide,[I-].[NH3+]CCC1=CCCCC1,organic,2
"2-(2,4,6-trifluorophenyl)ethan-1-aminium iodide",[I-].[NH3+]CCc1c(F)cc(F)cc1F,organic,2
"2-(3,5-difluorophenyl)ethan-1-aminium iodide",[I-].[NH3+]CCc1cc(F)cc(F)c1,organic,2
2-(4-nitrophenyl)ethan-1-aminium iodide,[I-].[NH3+]CCc1ccc(cc1)[N+]([O-])=O,organic,2
